epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,68.9612,0.48539,0.83671,0.93224,0.97518,0.96774,0.99335,0.90763,0.37172,0.67088,0.7279,0.0005941,0.0005941,0.0005941
43,70.164,0.49132,0.77519,0.91029,0.97518,0.96774,0.99335,0.90763,0.37172,0.67088,0.7279,0.0005842,0.0005842,0.0005842
44,71.3192,0.47626,0.76815,0.90596,0.98512,0.9871,0.99423,0.92516,0.33189,0.6534,0.71698,0.0005743,0.0005743,0.0005743
45,72.453,0.45822,0.8021,0.91106,0.98512,0.9871,0.99423,0.92516,0.33189,0.6534,0.71698,0.0005644,0.0005644,0.0005644
46,73.6253,0.43718,0.74599,0.89511,0.98512,0.9871,0.99423,0.92516,0.33189,0.6534,0.71698,0.0005545,0.0005545,0.0005545
47,74.8843,0.45872,0.77613,0.90796,0.98113,0.9871,0.99436,0.94524,0.29871,0.62249,0.70224,0.0005446,0.0005446,0.0005446
48,76.0055,0.42814,0.70671,0.91377,0.98113,0.9871,0.99436,0.94524,0.29871,0.62249,0.70224,0.0005347,0.0005347,0.0005347
49,77.2323,0.41436,0.73032,0.89354,0.98487,0.99355,0.99468,0.95144,0.30201,0.60027,0.69607,0.0005248,0.0005248,0.0005248
50,78.4796,0.41311,0.73267,0.87904,0.98487,0.99355,0.99468,0.95144,0.30201,0.60027,0.69607,0.0005149,0.0005149,0.0005149
51,79.6443,0.45817,0.77498,0.88745,0.98487,0.99355,0.99468,0.95144,0.30201,0.60027,0.69607,0.000505,0.000505,0.000505
52,80.8443,0.44809,0.72472,0.8909,0.98581,0.99355,0.99461,0.95026,0.30884,0.59201,0.69617,0.0004951,0.0004951,0.0004951
53,82.0868,0.4609,0.77636,0.90941,0.98581,0.99355,0.99461,0.95026,0.30884,0.59201,0.69617,0.0004852,0.0004852,0.0004852
54,83.2212,0.41788,0.71665,0.87028,0.98581,0.99355,0.99461,0.95026,0.30884,0.59201,0.69617,0.0004753,0.0004753,0.0004753
55,84.4463,0.49351,0.75836,0.93252,0.98089,0.99355,0.99487,0.95283,0.30811,0.59695,0.69494,0.0004654,0.0004654,0.0004654
56,85.7545,0.4034,0.67565,0.89379,0.98089,0.99355,0.99487,0.95283,0.30811,0.59695,0.69494,0.0004555,0.0004555,0.0004555
57,87.0209,0.42622,0.70977,0.8673,0.99354,0.99155,0.99494,0.95675,0.28698,0.5891,0.69042,0.0004456,0.0004456,0.0004456
58,88.1718,0.38797,0.68002,0.86202,0.99354,0.99155,0.99494,0.95675,0.28698,0.5891,0.69042,0.0004357,0.0004357,0.0004357
59,89.3515,0.3858,0.67635,0.88842,0.99354,0.99155,0.99494,0.95675,0.28698,0.5891,0.69042,0.0004258,0.0004258,0.0004258
60,90.612,0.42328,0.69169,0.88585,0.99216,0.99355,0.99494,0.95921,0.27798,0.57192,0.68972,0.0004159,0.0004159,0.0004159
61,91.7374,0.4203,0.72413,0.9007,0.99216,0.99355,0.99494,0.95921,0.27798,0.57192,0.68972,0.000406,0.000406,0.000406
62,92.884,0.43284,0.73752,0.89681,0.99216,0.99355,0.99494,0.95921,0.27798,0.57192,0.68972,0.0003961,0.0003961,0.0003961
